date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-07-13,15.800537,3.8586426,884.03265,-1.8315315,-0.37540436,10.369625,44.913097,1.8696085,0.0
1990-07-14,16.640167,4.7376404,883.8172,-2.120327,0.19543076,11.791235,45.275635,2.1293144,0.0
1990-07-15,16.302887,6.365509,885.5048,-3.036892,-0.6618805,12.150697,51.782925,3.1081824,0.0
1990-07-16,14.962555,8.459076,884.63654,-2.3609543,-0.5313873,11.448233,65.094444,2.420016,0.0
1990-07-17,15.333527,7.01239,883.21716,-1.9662933,-0.48121262,10.425503,57.59643,2.0243208,0.0
1990-07-18,15.511902,4.8504333,881.8278,-1.6281471,-0.41941833,9.0140085,49.039124,1.6813015,0.0
1990-07-19,16.277527,4.1526794,882.1867,-1.8413353,-0.31816864,9.811136,44.474964,1.8686217,0.0
1990-07-20,17.949066,5.4116516,883.4919,-1.8991814,-0.29436874,12.651614,43.6822,1.9218593,0.0
1990-07-21,16.360321,6.7090454,885.4924,-2.9996223,-0.69176483,13.900686,52.827316,3.0783556,0.0
1990-07-22,14.664154,6.874054,886.8091,-3.3532257,0.06561279,13.074739,59.5634,3.3538675,0.146
1990-07-23,14.303253,6.747528,887.3152,-2.920147,0.42017746,12.735849,60.441154,2.9502215,0.023
1990-07-24,12.946808,6.3007507,888.1844,-2.5527153,0.014755249,10.720617,64.016716,2.552758,0.001
1990-07-25,13.308746,4.4565125,887.70044,-2.6471481,-0.016777039,8.492265,55.009335,2.6472013,0.0
1990-07-26,13.476532,4.851776,886.7634,-3.1084328,-0.56349945,9.40415,55.933876,3.1590958,0.0
1990-07-27,15.118835,8.715851,885.21326,-2.9282799,-0.5677109,14.217358,65.57274,2.9828038,1.559
1990-07-28,16.858948,8.215912,885.0828,-3.2372017,-1.3888397,16.054756,56.72472,3.522549,0.206
1990-07-29,17.3526,7.727539,885.08124,-1.7831535,-1.2820435,18.180016,53.184216,2.196195,0.077
1990-07-30,16.877045,5.816284,885.79407,-0.27650833,0.96354675,15.9399605,48.070507,1.0024366,0.025
1990-07-31,16.64746,4.6112976,886.02673,-1.872055,1.487896,14.525214,44.857277,2.3913226,0.0
1990-08-01,16.375305,6.1533813,886.4486,-3.0253372,-0.24629974,14.375669,50.79658,3.0353465,0.0
1990-08-02,14.831329,4.775757,885.6811,-2.6598244,-0.34983063,10.873378,50.964863,2.6827314,0.0
1990-08-03,14.688019,4.5274353,884.5236,-2.6941605,-0.2749443,10.672309,50.55364,2.7081535,0.0
1990-08-04,15.333801,4.383545,884.7247,-3.070095,-0.18461609,11.430708,48.011044,3.075641,0.0
1990-08-05,15.079559,6.295807,885.69904,-3.2913475,-0.023799896,12.374351,55.731182,3.2914336,0.0
1990-08-06,14.677582,6.707672,885.9841,-2.875557,-0.120464325,12.92442,58.83615,2.8780792,0.028
1990-08-07,14.066742,5.2779236,887.06,-2.674656,0.37665558,12.60419,55.450516,2.7010467,0.004
1990-08-08,14.7691345,5.59433,886.9736,-2.130886,1.1837959,11.689386,54.165916,2.4376318,0.007
1990-08-09,14.893829,5.7175903,886.83673,-2.4016724,0.5110893,11.93107,54.19324,2.4554515,0.0
1990-08-10,15.238281,5.0882263,885.83234,-3.0194702,-0.14746475,12.108358,50.740803,3.0230691,0.0
